DEVICEID,EVT_TIMESTAMP,DEVICETYPE,LOGICALINTERFACE_ID,EVENTTYPE,FORMAT,UPDATED_UTC,PRESSURE,TEMPERATURE,TURBINE_ID
A101,2019-09-28 23:33:07.676973,EnergySystemModel02,,,,2019-09-28 23:33:07.677001,33.498815015590466,34.190390418706386,
B102,2019-09-28 23:33:07.676973,EnergySystemModel02,,,,2019-09-28 23:33:07.677001,33.498815015590466,26.799052012472373,
A101,2019-09-28 23:38:07.860557,EnergySystemModel02,,,,2019-09-28 23:38:07.860528,29.55202066613396,15.893546463604897,
B102,2019-09-28 23:38:07.860557,EnergySystemModel02,,,,2019-09-28 23:38:07.860528,29.55202066613396,23.641616532907168,
A101,2019-09-28 23:43:07.981364,EnergySystemModel02,,,,2019-09-28 23:43:07.981392,64.42176872376912,45.171397871602835,
B102,2019-09-28 23:43:07.981364,EnergySystemModel02,,,,2019-09-28 23:43:07.981392,64.42176872376912,51.53741497901529,
A101,2019-09-28 23:48:08.143366,EnergySystemModel02,,,,2019-09-28 23:48:08.143336,93.20390859672264,71.29658880491483,
B102,2019-09-28 23:48:08.143366,EnergySystemModel02,,,,2019-09-28 23:48:08.143336,93.20390859672264,74.56312687737811,
A101,2019-09-28 23:53:09.273563,EnergySystemModel02,,,,2019-09-28 23:53:09.273535,96.3558185417193,74.56312687737811,
B102,2019-09-28 23:53:09.273563,EnergySystemModel02,,,,2019-09-28 23:53:09.273535,96.3558185417193,77.08465483337544,
A101,2019-09-28 23:58:14.45168,EnergySystemModel02,,,,2019-09-28 23:58:14.451652,99.74949866040545,78.83597839907682,
B102,2019-09-28 23:58:14.45168,EnergySystemModel02,,,,2019-09-28 23:58:14.451652,99.74949866040545,79.79959892832436,
A101,2019-09-29 00:03:09.907959,EnergySystemModel02,,,,2019-09-29 00:03:09.907931,94.63000876874145,77.90781047025561,
B102,2019-09-29 00:03:09.907959,EnergySystemModel02,,,,2019-09-29 00:03:09.907931,94.63000876874145,75.70400701499315,
A101,2019-09-29 00:08:10.527794,EnergySystemModel02,,,,2019-09-29 00:08:10.527764,67.54631805511507,59.6564169741376,
B102,2019-09-29 00:08:10.527794,EnergySystemModel02,,,,2019-09-29 00:08:10.527764,67.54631805511507,54.03705444409205,
A101,2019-09-29 00:13:01.374167,EnergySystemModel02,,,,2019-09-29 00:13:01.374197,59.84721441039566,54.03705444409205,
B102,2019-09-29 00:13:01.374167,EnergySystemModel02,,,,2019-09-29 00:13:01.374197,59.84721441039566,47.87777152831652,
A101,2019-09-29 00:18:02.160508,EnergySystemModel02,,,,2019-09-29 00:18:02.160537,23.9249329213982,26.799052012472373,
B102,2019-09-29 00:18:02.160508,EnergySystemModel02,,,,2019-09-29 00:18:02.160537,23.9249329213982,19.13994633711856,
A101,2019-09-29 00:23:03.263914,EnergySystemModel02,,,,2019-09-29 00:23:03.263944,29.55202066613396,15.893546463604897,
B102,2019-09-29 00:23:03.263914,EnergySystemModel02,,,,2019-09-29 00:23:03.263944,29.55202066613396,23.641616532907168,
A101,2019-09-29 00:28:03.061776,EnergySystemModel02,,,,2019-09-29 00:28:03.061746,38.941834230865055,23.641616532907168,
B102,2019-09-29 00:28:03.061776,EnergySystemModel02,,,,2019-09-29 00:28:03.061746,38.941834230865055,31.153467384692043,
A101,2019-09-29 00:33:04.000443,EnergySystemModel02,,,,2019-09-29 00:33:04.000472,71.73560908995228,51.53741497901529,
B102,2019-09-29 00:33:04.000443,EnergySystemModel02,,,,2019-09-29 00:33:04.000472,71.73560908995228,57.38848727196182,
A101,2019-09-29 00:38:03.365914,EnergySystemModel02,,,,2019-09-29 00:38:03.365887,89.12073600614355,67.31767878463172,
B102,2019-09-29 00:38:03.365914,EnergySystemModel02,,,,2019-09-29 00:38:03.365887,89.12073600614355,71.29658880491483,
A101,2019-09-29 00:43:04.063983,EnergySystemModel02,,,,2019-09-29 00:43:04.064013,98.54497299884602,77.08465483337544,
B102,2019-09-29 00:43:04.063983,EnergySystemModel02,,,,2019-09-29 00:43:04.064013,98.54497299884602,78.83597839907682,
A101,2019-09-29 00:48:04.671337,EnergySystemModel02,,,,2019-09-29 00:48:04.671309,99.95736030415051,79.79959892832436,
B102,2019-09-29 00:48:04.671337,EnergySystemModel02,,,,2019-09-29 00:48:04.671309,99.95736030415051,79.9658882433204,
