SPEED,TEMPERATURE,HEAD,DEVICE_ID,PUMP_MODE,FLOW,KW_HOUR,VOLTAGE,POWER,CURRENT,TIMESTAMP,RCV_TIMESTAMP_UTC,UPDATED_UTC
1036,45.1,37.88,04714B6046D5,a,180.868,15929.479,196,2.296,9.31,3786807638,2020-01-01 00:05:24.623,2020-01-01 00:05:24.0
1036,45.4,37.882,04714B6046D5,a,180.702,15929.479,196,2.29,9.23,3786807938,2020-01-01 00:10:24.899,2020-01-01 00:10:24.0
1036,45.6,37.879,04714B6046D5,a,180.985,15929.479,196,2.291,9.29,3786808238,2020-01-01 00:15:24.795,2020-01-01 00:15:24.0
1036,46.1,37.867,04714B6046D5,a,182.086,15931.797,196,2.298,9.26,3786808538,2020-01-01 00:20:24.902,2020-01-01 00:20:24.0
1036,45.4,37.874,04714B6046D5,a,181.384,15931.797,196,2.299,9.24,3786808838,2020-01-01 00:25:24.944,2020-01-01 00:25:24.0
1036,45.4,37.844,04714B6046D5,a,183.9,15931.797,196,2.28,9.23,3786809138,2020-01-01 00:30:24.945,2020-01-01 00:30:24.0
1036,45.6,37.819,04714B6046D5,a,186.184,15931.797,196,2.321,9.37,3786809438,2020-01-01 00:35:24.838,2020-01-01 00:35:24.0
1036,45.3,37.897,04714B6046D5,a,179.326,15931.797,196,2.286,9.23,3786809738,2020-01-01 00:40:24.958,2020-01-01 00:40:24.0
1036,45.5,37.903,04714B6046D5,a,178.799,15931.797,196,2.284,9.21,3786810038,2020-01-01 00:45:24.935,2020-01-01 00:45:24.0
1036,45.3,37.897,04714B6046D5,a,179.317,15931.797,196,2.286,9.23,3786810338,2020-01-01 00:50:24.784,2020-01-01 00:50:24.0
1036,44.9,37.832,04714B6046D5,a,185.049,15931.797,196,2.312,9.31,3786810638,2020-01-01 00:55:24.793,2020-01-01 00:55:24.0
1036,45.1,37.857,04714B6046D5,a,182.893,15931.797,196,2.3,9.29,3786810938,2020-01-01 01:00:25.082,2020-01-01 01:00:25.0
1036,45.3,37.904,04714B6046D5,a,178.691,15931.797,196,2.279,9.23,3786811238,2020-01-01 01:05:25.009,2020-01-01 01:05:24.0
1036,45.3,37.896,04714B6046D5,a,179.443,15931.797,196,2.285,9.29,3786811538,2020-01-01 01:10:25.339,2020-01-01 01:10:25.0
1036,45.3,37.89,04714B6046D5,a,179.971,15931.797,196,2.287,9.23,3786811838,2020-01-01 01:15:25.126,2020-01-01 01:15:25.0
1036,45.3,37.903,04714B6046D5,a,178.75,15934.086,196,2.284,9.28,3786812138,2020-01-01 01:20:25.067,2020-01-01 01:20:25.0
1036,45.2,37.829,04714B6046D5,a,185.302,15934.086,196,2.315,9.32,3786812438,2020-01-01 01:25:25.128,2020-01-01 01:25:25.0
1036,45.4,37.898,04714B6046D5,a,179.248,15934.086,196,2.282,9.22,3786812738,2020-01-01 01:30:25.032,2020-01-01 01:30:25.0
1036,44.8,37.892,04714B6046D5,a,179.805,15934.086,196,2.29,9.19,3786813038,2020-01-01 01:35:24.908,2020-01-01 01:35:24.0
1036,45.2,37.787,04714B6046D5,a,188.825,15934.086,196,2.332,9.41,3786813338,2020-01-01 01:40:25.145,2020-01-01 01:40:25.0
1036,45,37.891,04714B6046D5,a,179.844,15934.086,196,2.29,9.26,3786813638,2020-01-01 01:45:25.023,2020-01-01 01:45:25.0
1036,45.7,37.897,04714B6046D5,a,179.287,15966.251,196,2.283,9.28,3786865828,2020-01-01 16:15:15.945,2020-01-01 16:15:15.0
1036,45.4,37.887,04714B6046D5,a,180.215,15968.563,196,2.289,9.26,3786866128,2020-01-01 16:20:15.815,2020-01-01 16:20:15.0
1036,45.6,37.867,04714B6046D5,a,182.085,15968.563,196,2.299,9.34,3786866428,2020-01-01 16:25:16.001,2020-01-01 16:25:15.0
1036,45.6,37.827,04714B6046D5,a,185.495,15968.563,196,2.32,9.35,3786866728,2020-01-01 16:30:15.792,2020-01-01 16:30:15.0
1036,45.7,37.856,04714B6046D5,a,183.01,15968.563,196,2.305,9.31,3786867028,2020-01-01 16:35:15.919,2020-01-01 16:35:15.0
1036,45.4,37.904,04714B6046D5,a,178.652,15968.563,196,2.284,9.25,3786867328,2020-01-01 16:40:16.062,2020-01-01 16:40:16.0
1036,45.5,37.946,04714B6046D5,a,174.558,15968.563,196,2.27,9.17,3786867628,2020-01-01 16:45:16.31,2020-01-01 16:45:16.0
