#,-------------- Chart Definition,,,,,,
,,Unit 2\AMBIENT TEMPERATURE,ID Fan A\ID Fan 1Status (2=ON1=OFF),ID Fan A\IDF A FLUE GAS INLET TEMP,ID Fan A\FLUE GAS FLOW (SIDE A),ID Fan A\IDF A BLADE POSN DEMAND,ID Fan A\ID Fan 1Pressure Rise Actual
, ,DEG F,NONE,DEG F,KPPH,%,INWC
,1/1/2016 6:00,44.5185547,2,314.324219,690.773438,66.9082,29.3205566
,1/1/2016 7:00,43.777832,2,305.828125,685.625,69.2568359,31.3203125
,1/1/2016 8:00,44.1640625,2,311.5664,656.6797,67.39258,29.81836
,1/1/2016 9:00,43.550293,2,312.839844,618.210938,64.05176,27.2988281
,1/1/2016 10:00,41.47754,2,310.90625,627.375,63.88379,27.54126
,1/1/2016 11:00,40.47461,2,312.015625,680.023438,68.8457,31.1696777
,1/1/2016 12:00,39.4897461,2,316.5664,650.414063,66.66992,29.2756348
,1/1/2016 13:00,39.1494141,2,313.765625,575.7578,64.6943359,27.8571777
,1/1/2016 14:00,38.4072266,2,269.652344,0,33.65088,7.251587
,1/1/2016 15:00,37.7739258,2,237.474609,0,17.1826172,1.40803528
,1/1/2016 16:00,37.22705,2,221.589844,0,16.8623047,1.45478821
,1/1/2016 17:00,37.2602539,2,207.136719,0,17.1225586,1.33758545
,1/1/2016 18:00,37.2197266,2,190.78125,6.96929932,17.26538,1.40116882
,1/1/2016 19:00,37.3110352,2,180.087891,42.4165039,20.7351074,1.84364319
,1/1/2016 20:00,37.25586,2,171.2539,102.330078,23.6413574,2.67675781
,1/1/2016 21:00,36.828125,2,166.111328,156.234375,26.23462,3.26223755
,1/1/2016 22:00,36.83545,2,166.8086,162.777344,26.46045,3.45120239
,1/1/2016 23:00,36.234375,2,170.361328,229.105469,32.5327148,5.449707
,1/2/2016 0:00,35.6572266,2,181.1836,194.482422,28.2509766,4.157898
,1/2/2016 1:00,35.5209961,2,189.4043,235.068359,31.58081,5.237732
,1/2/2016 2:00,35.0844727,2,191.310547,228.9961,31.2790527,5.343811
,1/2/2016 3:00,34.9760742,2,216.042969,354.0547,41.3222656,10.35376
,1/2/2016 4:00,34.8227539,2,261.988281,391.097656,45.1206055,12.0505371
,1/2/2016 5:00,34.82422,2,279.097656,441.230469,48.0810547,14.5335693
,1/2/2016 6:00,35.0268555,2,292.480469,556.8203,57.7456055,22.1542969
,1/2/2016 7:00,34.8232422,2,297.285156,498.085938,54.78369,20.1989746
,1/2/2016 8:00,35.04883,2,294.65625,522.226563,55.01465,21.034668
,1/2/2016 9:00,34.6010742,2,295.5664,631.6719,63.237793,27.6203613
,1/2/2016 10:00,35.2431641,2,305.613281,644.0156,64.38672,28.423584
,1/2/2016 11:00,35.0976563,2,306.792969,624.25,62.5498047,26.7324219
,1/2/2016 12:00,34.7885742,2,306.164063,561.101563,57.128418,22.6018066
,1/2/2016 13:00,35.3789063,2,301.851563,546.0078,55.74414,21.7624512
,1/2/2016 14:00,35.5322266,2,301.574219,536.5703,55.1459961,21.3674316
,1/2/2016 15:00,35.371582,2,301.3125,545.3125,56.26465,22.3039551
,1/2/2016 16:00,35.7407227,2,300.773438,538.335938,55.34912,21.7089844
,1/2/2016 17:00,36.92627,2,300.2422,543.0781,54.972168,21.1247559
,1/2/2016 18:00,37.1967773,2,299.511719,565.5,56.25293,22.1569824
,1/2/2016 19:00,37.56299,2,300.648438,551.4844,56.6694336,22.28247
,1/2/2016 20:00,38.24414,2,302.355469,543.3906,56.7338867,22.420166
,1/2/2016 21:00,39.19287,2,300.8711,541.8203,56.7348633,22.3986816
,1/2/2016 22:00,37.9980469,2,301.730469,547.09375,56.08838,21.878418
,1/2/2016 23:00,37.87451,2,301.40625,544.8594,56.559082,22.2973633
,1/3/2016 0:00,38.1333,2,302.480469,534.0156,55.8369141,21.8830566
,1/3/2016 1:00,36.4536133,2,301.53125,550.71875,56.35791,22.2053223
,1/3/2016 2:00,35.29541,2,300.726563,547.101563,56.3222656,22.1225586
,1/3/2016 3:00,34.1352539,2,300.398438,557.726563,56.7568359,22.6960449
,1/3/2016 4:00,32.6181641,2,299.453125,566.664063,57.08008,22.7214355
,1/3/2016 5:00,32.0048828,2,301.859375,645.8125,63.1635742,26.96875
,1/3/2016 6:00,31.8242188,2,306.613281,674.2344,66.2255859,29.38379
,1/3/2016 7:00,32.08008,2,310.652344,706.2344,70.01758,32.2348633
,1/3/2016 8:00,32.29785,2,311.675781,675.5547,67.3369141,30.3669434
,1/3/2016 9:00,32.0834961,2,310.59375,674.8672,66.98828,30.0258789
,1/3/2016 10:00,31.9265137,2,309.9375,679.59375,67.421875,30.3027344
,1/3/2016 11:00,31.6813965,2,310.9414,683.21875,67.80371,30.7167969
,1/3/2016 12:00,31.2214355,2,310.875,678.0078,67.58496,30.394043
,1/3/2016 13:00,30.96582,2,311.4336,689.4219,68.47168,31.2280273
,1/3/2016 14:00,32.0473633,2,311.324219,689.28125,68.21289,31.0214844
,1/3/2016 15:00,33.0839844,2,311.6211,688.6953,68.13867,31.076416
,1/3/2016 16:00,33.70166,2,311.8203,692.65625,68.4873047,31.2976074
,1/3/2016 17:00,36.597168,2,312.09375,688.539063,68.56836,31.1936035
,1/3/2016 18:00,40.04004,2,304.234375,681.4375,68.53223,31.54712
,1/3/2016 19:00,41.222168,2,310.652344,687.664063,69.7431641,31.9509277
,1/3/2016 20:00,41.5917969,2,314.640625,689.8828,70.6689453,32.456543
,1/3/2016 21:00,43.065918,2,316.101563,689.3672,70.18945,32.1542969
,1/3/2016 22:00,42.715332,2,316.449219,690.039063,69.86914,32.08789
,1/3/2016 23:00,41.9780273,2,315.976563,692.5625,69.91113,32.043457
,1/4/2016 0:00,40.84375,2,315.839844,701.101563,70.60742,32.6801758
,1/4/2016 1:00,39.2851563,2,316,704.226563,71.17578,32.9707031
,1/4/2016 2:00,38.6694336,2,316.046875,703.7578,71.7744141,33.3852539
,1/4/2016 3:00,38.3623047,2,315.71875,701.9375,71.54004,33.2543945
,1/4/2016 4:00,36.5561523,2,315.519531,699.46875,71.75488,33.50244
,1/4/2016 5:00,35.39453,2,314.1836,697.28125,71.203125,33.0727539
,1/4/2016 6:00,34.7563477,2,312.6797,681.7031,69.01953,31.4279785
,1/4/2016 7:00,33.871582,2,312.4922,694.5703,70.68652,32.6489258
,1/4/2016 8:00,33.98633,2,313.035156,691.4844,70.41504,32.38037
,1/4/2016 9:00,33.98535,2,314.414063,691.148438,72.01465,33.0444336
,1/4/2016 10:00,34.7509766,2,314.769531,689.7969,71.15234,32.67285
,1/4/2016 11:00,33.3916,2,315.082031,694.0781,71.31543,32.402832
,1/4/2016 12:00,34.0698242,2,315.089844,696.789063,71.88574,32.98877
,1/4/2016 13:00,33.8789063,2,314.796875,698.4531,71.98535,33.10498
,1/4/2016 14:00,35.1772461,2,315.1328,700.5,72.58984,33.45752
,1/4/2016 15:00,37.3730469,2,315.5078,698.9453,72.10156,33.2421875
,1/4/2016 16:00,37.28125,2,315.773438,700.351563,72.54004,33.50049
,1/4/2016 17:00,37.71045,2,316.902344,696.6953,73.19824,33.8286133
,1/4/2016 18:00,38.22119,2,315.339844,692.8047,72.40918,33.57617
,1/4/2016 19:00,39.8798828,2,314.8164,693.03125,72.3125,33.4106445
,1/4/2016 20:00,40.5893555,2,314.832031,690.148438,71.77734,33.097168
,1/4/2016 21:00,41.4301758,2,314.292969,693.1719,71.5293,32.89746
,1/4/2016 22:00,42.440918,2,315.585938,691.6875,72.0498047,33.2392578
,1/4/2016 23:00,43.27295,2,315.339844,691.1797,71.25879,33.09912
,1/5/2016 0:00,43.49414,2,313.398438,691.4375,70.30762,32.6889648
,1/5/2016 1:00,43.36084,2,312.886719,695.9922,70.7207,32.8427734
,1/5/2016 2:00,45.36035,2,315.03125,697.101563,71.57324,33.06299
,1/5/2016 3:00,46.54492,2,316.230469,694.25,71.53906,33.0864258
,1/5/2016 4:00,46.3540039,2,317.261719,693.5078,71.72168,32.7880859
,1/5/2016 5:00,45.684082,2,316.6836,710.6797,71.0918,32.2626953
,1/5/2016 6:00,45.2368164,2,316.03125,700.226563,71.0410156,32.3476563
,1/5/2016 7:00,44.40332,2,316.339844,697.7656,71.27539,32.60742
,1/5/2016 8:00,43.23291,2,315.464844,707.0703,71.46777,33.0688477
,1/5/2016 9:00,43.20703,2,316.3086,701.039063,71.9306641,33.32617
,1/5/2016 10:00,43.746582,2,316.667969,697.28125,71.55078,33.1489258
,1/5/2016 11:00,43.91211,2,316.765625,698.3672,71.2334,32.72754
,1/5/2016 12:00,43.3447266,2,317.300781,705.5781,71.85547,32.98047
,1/5/2016 13:00,42.2402344,2,317.4336,709.0547,72.15918,33.1884766
,1/5/2016 14:00,43.6044922,2,317.4414,705.5078,71.76758,33.2397461
,1/5/2016 15:00,45.7939453,2,317.363281,704.023438,71.1543,32.7832031
,1/5/2016 16:00,48.6889648,2,317.289063,700.476563,70.92676,32.7485352
,1/5/2016 17:00,52.1542969,2,318.148438,700.5703,71.86328,33.20166
,1/5/2016 18:00,55.6342773,2,319.648438,699.625,72.66211,33.5092773
,1/5/2016 19:00,58.1801758,2,320.835938,698.2031,73.2597656,33.86914
,1/5/2016 20:00,59.59326,2,321.113281,696.8203,72.94043,33.7236328
,1/5/2016 21:00,59.9135742,2,321.332031,694.0156,72.62305,33.6176758
,1/5/2016 22:00,59.0078125,2,320.605469,693.5,72.28906,33.496582
,1/5/2016 23:00,57.831543,2,320.1328,694.1094,71.94336,33.3364258
,1/6/2016 0:00,54.2573242,2,320.0703,696.09375,72.2373047,33.3188477
,1/6/2016 1:00,53.1064453,2,319.546875,696.71875,71.87988,33.2036133
,1/6/2016 2:00,51.39258,2,319.9922,702.476563,72.4931641,33.50537
,1/6/2016 3:00,50.71826,2,320.152344,703.875,72.9082,34.00537
,1/6/2016 4:00,49.847168,2,319.886719,701.3906,73.0166,34.1552734
,1/6/2016 5:00,49.4609375,2,319.261719,698.7031,72.07422,33.68457
,1/6/2016 6:00,49.1948242,2,319.03125,696.8125,71.7793,33.48633
,1/6/2016 7:00,48.753418,2,319.363281,697.273438,71.9443359,33.5830078
,1/6/2016 8:00,47.86621,2,319.710938,690.9922,71.76953,33.4624023
,1/6/2016 9:00,46.56201,2,319.1211,685.625,71.66016,33.30127
,1/6/2016 10:00,45.0859375,2,319.6328,681.3125,72.0380859,33.4707031
,1/6/2016 11:00,43.3310547,2,318.972656,681.5703,71.5498047,33.20996
,1/6/2016 12:00,42.5009766,2,317.7578,681.148438,70.62012,32.74414
,1/6/2016 13:00,42.8222656,2,317.765625,689.7422,71.05371,32.88379
,1/6/2016 14:00,43.8032227,2,317.539063,694.1094,70.8964844,33.09912
,1/6/2016 15:00,46.73584,2,317.21875,692.0781,70.4189453,32.722168
,1/6/2016 16:00,50.57959,2,318.023438,694.273438,70.9189453,32.95508
,1/6/2016 17:00,55.1147461,2,318.335938,693.7656,70.96777,32.90625
,1/6/2016 18:00,56.6230469,2,313.886719,692.585938,70.74121,32.6923828
,1/6/2016 19:00,57.7265625,2,318.460938,693.3906,71.2880859,32.828125
,1/6/2016 20:00,58.8916,2,320.3125,699.1406,72.45996,33.41992
,1/6/2016 21:00,59.3481445,2,320.6172,697.5547,72.34668,33.2456055
,1/6/2016 22:00,59.3710938,2,320.9922,692.1797,72,33.13086
,1/6/2016 23:00,57.31201,2,320.273438,694.1094,71.84863,33.10547
,1/7/2016 0:00,56.1230469,2,319.707031,690.914063,71.49512,32.9726563
,1/7/2016 1:00,55.2226563,2,319.226563,686.898438,70.99902,32.9697266
,1/7/2016 2:00,54.6098633,2,319.546875,695.2344,71.92578,33.42871
,1/7/2016 3:00,54.894043,2,319.4375,700.726563,72.1181641,33.4140625
,1/7/2016 4:00,55.722168,2,319.4297,704.3203,71.96973,33.3256836
,1/7/2016 5:00,56.80664,2,318.460938,646.3828,65.7001953,28.8369141
,1/7/2016 6:00,56.3789063,2,315.925781,677.4844,68.4834,30.82788
,1/7/2016 7:00,56.02295,2,317.199219,655.21875,67.39453,30.1540527
,1/7/2016 8:00,55.8168945,2,315.921875,600.335938,62.0703125,26.0690918
,1/7/2016 9:00,55.5708,2,315.261719,604.726563,62.675293,26.3771973
,1/7/2016 10:00,54.6455078,2,316.175781,670.5078,68.7793,30.7749023
,1/7/2016 11:00,54.2089844,2,318.984375,692.460938,71.4043,32.75586
,1/7/2016 12:00,54.25879,2,319.5664,697.375,72.07422,33.1860352
,1/7/2016 13:00,54.7734375,2,320.015625,693.4922,72.18262,33.37793
,1/7/2016 14:00,54.7143555,2,320.90625,692.875,72.8964844,33.5493164
,1/7/2016 15:00,54.58203,2,320.3672,690.9844,73.27344,33.7919922
,1/7/2016 16:00,53.47754,2,319.417969,691.21875,72.85156,33.5517578
,1/7/2016 17:00,56.20166,2,319.7539,691.8203,72.71777,33.5634766
,1/7/2016 18:00,57.5791,2,320.15625,694.5156,72.8193359,33.56787
,1/7/2016 19:00,58.8930664,2,320.796875,695.21875,72.65527,33.52002
,1/7/2016 20:00,59.7509766,2,321.1797,689.75,72.44238,33.203125
,1/7/2016 21:00,60.5180664,2,321.589844,689.773438,72.75879,33.4272461
,1/7/2016 22:00,60.1582031,2,321.9336,690.7656,72.8310547,33.5151367
,1/7/2016 23:00,59.1289063,2,321.5547,699.3906,72.80957,33.39795
,1/8/2016 0:00,58.11914,2,321.167969,705.3828,72.5957,33.51758
,1/8/2016 1:00,57.1494141,2,320.7461,712.1406,72.90723,33.59326
,1/8/2016 2:00,57.2607422,2,320.984375,718.46875,73.0957,33.7880859
,1/8/2016 3:00,57.6098633,2,321.574219,715.210938,73.98242,34.4750977
,1/8/2016 4:00,57.2739258,2,320.972656,707.6172,73.5244141,34.1318359
,1/8/2016 5:00,57.0205078,2,320.953125,699.1797,72.85742,33.6381836
