deviceid,floatvalue,timestamp
CakebreadId_0128,39,01/29/2020 00:36,
CakebreadId_0128,37,01/29/2020 00:36,
CakebreadId_0128,38,01/29/2020 00:36,
CakebreadId_0128,36,01/29/2020 00:37,
CakebreadId_0128,28,01/29/2020 00:37,
CakebreadId_0128,36,01/29/2020 00:37,
CakebreadId_0128,38,01/29/2020 00:37,
CakebreadId_0128,37,01/29/2020 00:38,
CakebreadId_0128,25,01/29/2020 00:38,
CakebreadId_0128,37,01/29/2020 00:38,
CakebreadId_0128,39,01/29/2020 00:38,
CakebreadId_0128,38,01/29/2020 00:39,
CakebreadId_0128,32,01/29/2020 00:39,
CakebreadId_0128,31,01/29/2020 00:39,
CakebreadId_0128,38,01/29/2020 00:39,
CakebreadId_0128,37,01/29/2020 00:39,
CakebreadId_0128,31,01/29/2020 00:40,
CakebreadId_0128,34,01/29/2020 00:40,
CakebreadId_0128,39,01/29/2020 00:40,
CakebreadId_0128,35,01/29/2020 00:41,
CakebreadId_0128,32,01/29/2020 00:41,
CakebreadId_0128,40,01/29/2020 00:41,
CakebreadId_0128,38,01/29/2020 00:41,
CakebreadId_0128,31,01/29/2020 00:42,
CakebreadId_0128,33,01/29/2020 00:42,
CakebreadId_0128,40,01/29/2020 00:42,
CakebreadId_0128,39,01/29/2020 00:42,
CakebreadId_0128,40,01/29/2020 00:42,
CakebreadId_0128,38,01/29/2020 00:42,
CakebreadId_0128,30,01/29/2020 00:43,
CakebreadId_0128,38,01/29/2020 00:43,
CakebreadId_0128,40,01/29/2020 00:43,
CakebreadId_0128,37,01/29/2020 00:43,
CakebreadId_0128,32,01/29/2020 00:43,
CakebreadId_0128,40,01/29/2020 00:44,
CakebreadId_0128,41,01/29/2020 00:44,
CakebreadId_0128,40,01/29/2020 00:44,
CakebreadId_0128,41,01/29/2020 00:45,
CakebreadId_0128,35,01/29/2020 00:52,
CakebreadId_0128,31,01/29/2020 00:52,
CakebreadId_0128,41,01/29/2020 00:52,
CakebreadId_0128,42,01/29/2020 00:53,
CakebreadId_0128,41,01/29/2020 00:53,
CakebreadId_0128,39,01/29/2020 00:54,
CakebreadId_0128,33,01/29/2020 00:54,
CakebreadId_0128,41,01/29/2020 00:55,
CakebreadId_0128,42,01/29/2020 00:56,
CakebreadId_0128,38,01/29/2020 00:57,
CakebreadId_0128,30,01/29/2020 00:57,
CakebreadId_0128,42,01/29/2020 00:57,
CakebreadId_0128,40,01/29/2020 00:59,
CakebreadId_0128,36,01/29/2020 00:59,
CakebreadId_0128,34,01/29/2020 00:59,
CakebreadId_0128,42,01/29/2020 01:00,
CakebreadId_0128,41,01/29/2020 01:00,
CakebreadId_0128,42,01/29/2020 01:00,
CakebreadId_0128,41,01/29/2020 01:00,
CakebreadId_0128,42,01/29/2020 01:01,
CakebreadId_0128,41,01/29/2020 01:01,
CakebreadId_0128,38,01/29/2020 01:20,
CakebreadId_0128,27,01/29/2020 01:21,
CakebreadId_0128,39,01/29/2020 01:21,
CakebreadId_0128,41,01/29/2020 01:21,
CakebreadId_0128,42,01/29/2020 01:21,
CakebreadId_0128,41,01/29/2020 01:22,
CakebreadId_0128,42,01/29/2020 01:22,
CakebreadId_0128,40,01/29/2020 01:22,
CakebreadId_0128,35,01/29/2020 01:22,
CakebreadId_0128,34,01/29/2020 01:22,
CakebreadId_0128,37,01/29/2020 01:23,
CakebreadId_0128,41,01/29/2020 01:23,
CakebreadId_0128,42,01/29/2020 01:23,
CakebreadId_0128,41,01/29/2020 01:23,
CakebreadId_0128,39,01/29/2020 01:25,
CakebreadId_0128,31,01/29/2020 01:25,
CakebreadId_0128,42,01/29/2020 01:25,
CakebreadId_0128,37,01/29/2020 01:27,
CakebreadId_0128,32,01/29/2020 01:27,
CakebreadId_0128,39,01/29/2020 01:27,
CakebreadId_0128,41,01/29/2020 01:27,
CakebreadId_0128,40,01/29/2020 01:28,
CakebreadId_0128,35,01/29/2020 01:29,
CakebreadId_0128,39,01/29/2020 01:29,
CakebreadId_0128,41,01/29/2020 01:29,
CakebreadId_0128,39,01/29/2020 01:30,
CakebreadId_0128,37,01/29/2020 01:30,
CakebreadId_0128,32,01/29/2020 01:30,
CakebreadId_0128,39,01/29/2020 01:31,
CakebreadId_0128,41,01/29/2020 01:31,
CakebreadId_0128,40,01/29/2020 01:32,
CakebreadId_0128,32,01/29/2020 01:32,
CakebreadId_0128,40,01/29/2020 01:32,
CakebreadId_0128,42,01/29/2020 01:33,
CakebreadId_0128,41,01/29/2020 01:33,
CakebreadId_0128,38,01/29/2020 01:33,
CakebreadId_0128,33,01/29/2020 01:34,
CakebreadId_0128,36,01/29/2020 01:34,
CakebreadId_0128,41,01/29/2020 01:34,
CakebreadId_0128,36,01/29/2020 01:35,
CakebreadId_0128,27,01/29/2020 01:35,
CakebreadId_0128,38,01/29/2020 01:36,
CakebreadId_0128,41,01/29/2020 01:36,
CakebreadId_0128,39,01/29/2020 01:37,
CakebreadId_0128,38,01/29/2020 01:37,
CakebreadId_0128,30,01/29/2020 01:37,
CakebreadId_0128,40,01/29/2020 01:38,
CakebreadId_0128,41,01/29/2020 01:38,
CakebreadId_0128,39,01/29/2020 01:39,
CakebreadId_0128,36,01/29/2020 01:39,
CakebreadId_0128,30,01/29/2020 01:39,
CakebreadId_0128,37,01/29/2020 01:39,
CakebreadId_0128,41,01/29/2020 01:40,
CakebreadId_0128,38,01/29/2020 01:41,
CakebreadId_0128,34,01/29/2020 01:41,
CakebreadId_0128,39,01/29/2020 01:41,
CakebreadId_0128,41,01/29/2020 01:41,
CakebreadId_0128,39,01/29/2020 01:42,
CakebreadId_0128,38,01/29/2020 01:43,
