"ID","DEVICETYPE","DEVICEID","LOGICALINTERFACE_ID","EVENTTYPE","FORMAT","RCV_TIMESTAMP_UTC","UPDATED_UTC","SPEED","TEMPERATURE","HEAD","DEVICE_ID","PUMP_MODE","FLOW","WARN","KW_HOUR","VOLTAGE","ALARM","POWER","CURRENT","TIMESTAMP","VIBRATIONS_XAXIS","ACCEL_SPEED","VIBRATIONS_YAXIS","ACCEL_POWER","RMS_X","RMS_Z","VIBRATIONS_ZAXIS","RMS_Y","VERSION","RUN_QTY","TAG_NUMBER","DESIGN_HEAD","PERF_OPTION","DESIGN_FLOW","PTS","RATED_CURRENT","RATED_SPEED","HARDWARE_VER","PTS_COUNT","SERIAL_NUMBER","FIRMWARE_VER","REATED_POWER","RMSN_X","VIBRATION_N_YAXIS","VIBRATION_N_XAXIS","RMSN_Y","VIBRATION_N_ZAXIS","RMSN_Z","RMS_X_AVG","PWR","HW_VER","DQ","FW_VER"
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-11-09.28.21.118000,2020-12-11-09.28.21.000000,,,,"04714B603408",,,,,,,,,"3157302933","[-0.0225,-0.0234,-0.0273,-0.0273,-0.0293,-0.0234,-0.0283,-0.0254,-0.0361,-0.042,-0.0273,-0.0264,-0.0225,-0.0313,-0.0391]","[""0"",""0"",""0"",""0"",""0""]","[-1.041,-1.042,-1.043,-1.042,-1.0352,-1.0449,-1.041,-1.04,-1.0391,-1.043,-1.0518,-1.0625,-1.0459,-1.0459,-1.0615]","[""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000""]","[""0.030394"",""0.030813"",""0.031222"",""0.031383"",""0.030787""]","[""0.014673"",""0.015077"",""0.013845"",""0.014791"",""0.014782""]","[0.0059,0.002,-0.0039,0.0254,-0.0049,-0.0039,0.0127,0.0029,0.002,0.002,0.002,0.001,0.0186,0.0068,0.0244]","[""1.042727"",""1.042904"",""1.043325"",""1.043242"",""1.042964""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-09.28.21.117000,2020-12-11-09.28.21.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.030919800000000004,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-09.30.20.315000,2020-12-11-09.30.20.000000,0.0,45.2,0.0,"04714B603408",a,0.0,8192.0,19813.877,0.0,0.0,0.0,0.0,"3157303052",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-11-09.33.21.164000,2020-12-11-09.33.21.000000,,,,"04714B603408",,,,,,,,,"3157303233","[-0.0264,-0.0313,-0.0313,-0.0381,-0.0273,-0.0293,-0.0176,-0.0273,-0.0205,-0.0342,-0.0283,-0.0342,-0.043,-0.0371,-0.0342]","[""0"",""0"",""0"",""0"",""0""]","[-1.04,-1.041,-1.0352,-1.042,-1.0449,-1.0459,-1.0498,-1.041,-1.0439,-1.043,-1.042,-1.0449,-1.0508,-1.0625,-1.0449]","[""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000""]","[""0.031256"",""0.031216"",""0.030986"",""0.031241"",""0.030763""]","[""0.014012"",""0.014298"",""0.014439"",""0.014817"",""0.014449""]","[0.0166,0.0068,0.0156,0.0137,0.0166,0.0273,-0.0146,0.0137,0.0049,0.0068,0.0273,0.0137,0.0225,0.0186,0.0039]","[""1.043240"",""1.043221"",""1.043331"",""1.043402"",""1.042991""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-11-09.38.21.115000,2020-12-11-09.38.21.000000,,,,"04714B603408",,,,,,,,,"3157303533","[-0.0293,-0.0391,-0.04,-0.0166,-0.0322,-0.0439,-0.0225,-0.0264,-0.0205,-0.0273,-0.0234,-0.0166,-0.0186,-0.0234,-0.0273]","[""0"",""0"",""0"",""0"",""0""]","[-1.043,-1.043,-1.0322,-1.0586,-1.0439,-1.0566,-1.0508,-1.0498,-1.0469,-1.0381,-1.0449,-1.0391,-1.0381,-1.0469,-1.0332]","[""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000""]","[""0.030952"",""0.031046"",""0.030872"",""0.031154"",""0.030749""]","[""0.013764"",""0.013971"",""0.014643"",""0.013973"",""0.014503""]","[0.0068,0.001,0.0068,0.0283,0.0059,0.0107,0.0078,0,0.041,0.0166,0.001,0.0068,0,0.0059,0.0107]","[""1.043211"",""1.043196"",""1.042813"",""1.043113"",""1.043074""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-09.33.21.165000,2020-12-11-09.33.21.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0310924,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-09.38.21.116000,2020-12-11-09.38.21.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0309546,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-09.40.20.345000,2020-12-11-09.40.20.000000,0.0,45.7,0.0,"04714B603408",a,0.0,8192.0,19813.877,0.0,0.0,0.0,0.0,"3157303652",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-09.35.20.235000,2020-12-11-09.35.20.000000,0.0,45.6,0.0,"04714B603408",a,0.0,8192.0,19813.877,0.0,0.0,0.0,0.0,"3157303352",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-09.43.21.297000,2020-12-11-09.43.21.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0309582,,,0.0,
