groupdId,edgeNodeId,timestamp,seq,metricName,metricTS,dataType,Val,timestamp_date,metricTS_date,SDEV,DELTA,$O-Anomaly,$O-AnomalyIndex,$O-PeerGroup,$O-Field-1,$O-FieldImpact-1,$O-Field-2,$O-FieldImpact-2,$O-Field-3,$O-FieldImpact-3
"Cakebread","RuthNorth",1561754230998,1,"TT_ProdRoom",1561754201505,"Float",73.042150,2019-06-28 20:37:10,2019-06-28 20:36:41,1.949464,3.381376,"T",85.240636,2,"SDEV",0.533226,"DELTA",0.454144,"Val",0.012630
"Cakebread","RuthNorth",1561754230998,1,"TT_ProdRoom",1561754211508,"Float",73.040245,2019-06-28 20:37:10,2019-06-28 20:36:51,1.689460,3.381376,"T",75.190502,2,"DELTA",0.514846,"SDEV",0.470847,"Val",0.014307
"Cakebread","RuthNorth",1561754198210,0,"TT_ProdRoom",1561754198210,"Float",73.036680,2019-06-28 20:36:38,2019-06-28 20:36:38,1.685908,3.375906,"T",74.947157,2,"DELTA",0.515051,"SDEV",0.470616,"Val",0.014333
"Cakebread","RuthNorth",1561741452854,0,"TT_ProdRoom",1561741452854,"Float",63.469444,2019-06-28 17:04:12,2019-06-28 17:04:12,0.064953,0.132156,"T",12.560577,1,"DELTA",0.505101,"SDEV",0.475528,"Val",0.019371
"Cakebread","RuthNorth",1561743503270,68,"TT_ProdRoom",1561743498273,"Float",63.689156,2019-06-28 17:38:23,2019-06-28 17:38:18,0.055866,0.125716,"T",10.224138,1,"DELTA",0.550906,"SDEV",0.409100,"Val",0.039994
"Cakebread","RuthNorth",1561743533277,69,"TT_ProdRoom",1561743503275,"Float",63.712135,2019-06-28 17:38:53,2019-06-28 17:38:23,0.053206,0.120552,"T",9.241267,1,"DELTA",0.551039,"SDEV",0.402411,"Val",0.046551
"Cakebread","RuthNorth",1561743563286,70,"TT_ProdRoom",1561743558291,"Float",63.897790,2019-06-28 17:39:23,2019-06-28 17:39:18,0.051727,0.115450,"T",8.687503,1,"DELTA",0.527799,"SDEV",0.399724,"Val",0.072476
"Cakebread","RuthNorth",1561744343530,96,"TT_ProdRoom",1561744318528,"Float",66.008640,2019-06-28 17:52:23,2019-06-28 17:51:58,0.024279,0.054960,"T",7.373324,1,"Val",0.859023,"DELTA",0.081853,"SDEV",0.059125
"Cakebread","RuthNorth",1561744313521,95,"TT_ProdRoom",1561744308526,"Float",65.953680,2019-06-28 17:51:53,2019-06-28 17:51:48,0.024443,0.059040,"T",7.305037,1,"Val",0.835786,"DELTA",0.103233,"SDEV",0.060981
"Cakebread","RuthNorth",1561744373536,97,"TT_ProdRoom",1561744368543,"Float",66.156950,2019-06-28 17:52:53,2019-06-28 17:52:48,0.017459,0.037410,"T",7.255259,1,"Val",0.960879,"DELTA",0.020768,"SDEV",0.018353
"Cakebread","RuthNorth",1561743563286,70,"TT_ProdRoom",1561743553289,"Float",63.869510,2019-06-28 17:39:23,2019-06-28 17:39:13,0.047037,0.107387,"T",7.182019,1,"DELTA",0.534411,"SDEV",0.382590,"Val",0.082998
"Cakebread","RuthNorth",1561744343530,96,"TT_ProdRoom",1561744333533,"Float",66.053470,2019-06-28 17:52:23,2019-06-28 17:52:13,0.019930,0.044830,"T",7.048934,1,"Val",0.925432,"DELTA",0.043061,"SDEV",0.031507
